Classname													Editor Name

adm_item_cylinder_1btl_6ltr_empty							Single 6liter Tank (Empty)
adm_item_cylinder_2btl_6ltr_empty							Double 6liter Tank (Empty)
adm_item_cylinder_1btl_6ltr_compressedAir					Single 6liter Tank (Air)
adm_item_cylinder_2btl_6ltr_compressedAir					Double 6liter Tank (Air)
adm_item_cylinder_1btl_6ltr_EAN28							Single 6liter Tank (Enriched Air Nitrox 28)
adm_item_cylinder_2btl_6ltr_EAN28							Double 6liter Tank (Enriched Air Nitrox 28)
adm_item_cylinder_1btl_6ltr_EAN32							Single 6liter Tank (Enriched Air Nitrox 32)
adm_item_cylinder_2btl_6ltr_EAN32							Double 6liter Tank (Enriched Air Nitrox 32)
adm_item_cylinder_1btl_6ltr_EAN36							Single 6liter Tank (Enriched Air Nitrox 36)
adm_item_cylinder_2btl_6ltr_EAN36							Double 6liter Tank (Enriched Air Nitrox 36)
adm_item_cylinder_1btl_6ltr_EAN40							Single 6liter Tank (Enriched Air Nitrox 40)
adm_item_cylinder_2btl_6ltr_EAN40							Double 6liter Tank (Enriched Air Nitrox 40)
adm_item_cylinder_1btl_6ltr_Heliox85						Single 6liter Tank (Heliox 8.5)
adm_item_cylinder_2btl_6ltr_Heliox85						Double 6liter Tank (Heliox 8.5)
adm_item_cylinder_1btl_6ltr_Heliox12						Single 6liter Tank (Heliox 12)
adm_item_cylinder_2btl_6ltr_Heliox12						Double 6liter Tank (Heliox 12)
adm_item_cylinder_1btl_6ltr_Heliox21						Single 6liter Tank (Heliox 21)
adm_item_cylinder_2btl_6ltr_Heliox21						Double 6liter Tank (Heliox 21)
adm_item_cylinder_1btl_6ltr_Tx1070							Single 6liter Tank (Trimix 10/70)
adm_item_cylinder_2btl_6ltr_Tx1070							Double 6liter Tank (Trimix 10/70)
adm_item_cylinder_1btl_6ltr_Tx1265							Single 6liter Tank (Trimix 12/65)
adm_item_cylinder_2btl_6ltr_Tx1265							Double 6liter Tank (Trimix 12/65)
adm_item_cylinder_1btl_6ltr_Tx1555							Single 6liter Tank (Trimix 15/55)
adm_item_cylinder_2btl_6ltr_Tx1555							Double 6liter Tank (Trimix 15/55)
adm_item_cylinder_1btl_6ltr_Tx1845							Single 6liter Tank (Trimix 18/45)
adm_item_cylinder_2btl_6ltr_Tx1845							Double 6liter Tank (Trimix 18/45)
adm_item_cylinder_1btl_6ltr_Tx2135							Single 6liter Tank (Trimix 21/35)
adm_item_cylinder_2btl_6ltr_Tx2135							Double 6liter Tank (Trimix 21/35)
adm_item_wetsuit											Wetsuit (ADM)
adm_item_rebreather											Rebreather (ADM)
adm_item_goggles											Diving Goggles (ADM)
adm_item_bag												Equipment Bag (ADM)
adm_item_diveComputer										Dive Buddy (ADM)
